filename,primary_narrative_model,primary_score,models_evaluated,word_count,text_length,cost,cache_created,cache_read,input_tokens,output_tokens,raw_response,Genre Comedy
Copy of Copy of 0_the_old_man_and_the_sea.txt,Romance/Heroic Quest,3,1,26698,129846,0.0266392,0,0,31619,336,"Let's analyze this text using the Romance/Heroic Quest pattern:

=== MODEL EVALUATIONS ===

Model: Romance/Heroic Quest
StageTotal: 14/20
Coverage: 0.70
Score: 3
Justification: The text strongly represents most stages of the heroic quest, with Santiago embodying the archetypal hero who undertakes an epic journey of endurance, struggle, and self-discovery.

Stage Breakdown:
1. Call to Adventure: 2 (Santiago's lifelong commitment to fishing)
2. Meeting with Mentor: 1 (Implied through his relationship with the boy)
3. Departure: 2 (Sailing far out into the Gulf Stream)
4. Trials and Challenges: 2 (Battling the massive marlin and subsequent sharks)
5. Approach to Inmost Cave: 2 (Confronting the fish and his own limitations)
6. Ordeal: 2 (Intense physical and psychological struggle with the fish)
7. Reward: 2 (Catching the enormous marlin)
8. Return: 2 (Sailing back to shore)
9. Resurrection: 2 (Surviving despite being beaten, maintaining dignity)
10. Return with Elixir: 1 (Partial - he returns transformed but physically diminished)

The narrative powerfully illustrates a heroic journey of endurance, pride, and human resilience against overwhelming natural forces.",0
Copy of Copy of 109_being_there.txt,Romance/Heroic Quest,2,1,25723,139839,0.0286464,0,0,34263,309,"Let me analyze this text using the Romance/Heroic Quest pattern:

=== MODEL EVALUATIONS ===

Model: Romance/Heroic Quest
StageTotal: 9/20
Coverage: 0.45
Score: 2
Justification: The text follows a modified psychological/social journey pattern with several key stages present, though not all fully developed.

Stage Breakdown:
1. Call to Adventure: {2} - Chance's initial departure from the garden represents a clear call to adventure
2. Meeting with Mentor: {1} - The Old Man provides limited guidance
3. Departure: {2} - Chance leaves his familiar garden environment
4. Trials/Challenges: {1} - Encounters with various social situations test Chance
5. Inmost Cave: {1} - TV appearances represent a psychological transformation point
6. Ordeal: {1} - Confronting unfamiliar social interactions
7. Reward: {1} - Gaining social recognition and status
8. Return: {0} - No clear return to original state
9. Resurrection: {0} - No definitive rebirth/transformation
10. Elixir: {0} - No clear transformative element brought back

The story represents a non-traditional, metaphorical hero's journey where Chance's ""adventure"" is through social/media landscapes rather than physical terrain.",0
Copy of Copy of 156_the_13_clocks.txt,Romance (Heroic Quest),4,1,12343,62780,0.0155656,0,0,17752,341,"=== MODEL EVALUATIONS ===

Model: Romance (Heroic Quest)
StageTotal: 18/20
Coverage: 0.90
Score: 4
Justification: The text perfectly follows the Romance/Heroic Quest pattern, with Zorn of Zorna embodying a classic hero's journey through challenges, magical encounters, and ultimate transformation.

Stage-by-Stage Evaluation:
1. Call to Adventure (2/2): Prince leaves familiar realm to rescue Saralinda
2. Meeting with Mentor (2/2): The Golux guides and assists the Prince
3. Departure (2/2): Leaves his original world to enter the Duke's strange castle
4. Trials and Challenges (2/2): Faces multiple impossible tasks and obstacles
5. Approach to Inmost Cave (2/2): Journey to Hagga's hill and confronting jewel challenge
6. Ordeal (2/2): Risking death against the Duke's schemes
7. Reward (2/2): Obtaining the jewels and winning Saralinda
8. Return (2/2): Leaving the castle for Yarrow
9. Resurrection (2/2): Overcoming final challenges and transforming the Duke's world
10. Return with Elixir (2/2): Bringing hope, love, and freedom back to the kingdom

The narrative comprehensively and metaphorically covers every stage of the heroic quest, making it a quintessential example of the genre.",0
Copy of Copy of 191_every_heart_a_doorway.txt,Romance/Heroic Quest,3,1,39493,211786,0.0428472,0,0,51814,349,"I'll analyze this text using the Romance/Heroic Quest pattern you specified. Here's the evaluation:

=== MODEL EVALUATIONS ===

Model: Romance/Heroic Quest
StageTotal: 14/20
Coverage: 0.70
Score: 3

Justification: Nancy's journey follows most classic heroic quest stages, with strong metaphorical interpretations. She experiences a call to adventure (discovering the portal), meets mentors (Eleanor, Kade), departs her ordinary world, faces trials at the school, approaches her inner challenge, experiences an ordeal (confronting Jill), receives a reward (understanding her identity), returns to her world, and ultimately resurrects and returns with her ""elixir"" (self-determination and agency).

Stage Breakdown:
1. Call to Adventure: 2 (discovering Underworld portal)
2. Meeting Mentor: 2 (Eleanor, Kade)
3. Departure: 2 (leaving her parents' world)
4. Trials/Challenges: 2 (school dynamics, murders)
5. Approach to Inmost Cave: 2 (confronting school's mysteries)
6. Ordeal: 2 (facing Jill's plot)
7. Reward: 1 (partial self-understanding)
8. Return: 2 (going home, then back to Underworld)
9. Resurrection: 2 (final transformation)
10. Return with Elixir: 1 (partial self-realization)",0
Copy of Copy of 1_animal-farm.txt,Romance/Heroic Quest,3,1,30050,165909,0.0320712,0,0,38389,340,"I'll analyze this text using the Romance/Heroic Quest pattern.

=== MODEL EVALUATIONS ===

Model: Romance/Heroic Quest
StageTotal: 14/20
Coverage: 0.70
Score: 3
Justification: The text strongly follows most stages of the heroic quest, with a clear call to adventure (Old Major's speech), departure from the old world (rebellion), trials and challenges (building the windmill), and a complex ""resurrection"" and return that ultimately reveals the corruption of the original ideals.

Stage Breakdown:
1. Call to Adventure: 2 (Old Major's revolutionary speech)
2. Meeting with Mentor: 2 (Old Major as inspirational leader)
3. Departure: 2 (Overthrowing Jones, establishing Animal Farm)
4. Trials and Challenges: 2 (Rebuilding windmill, facing human attacks)
5. Approach to Inmost Cave: 1 (Increasing complexity of farm's politics)
6. Ordeal: 2 (Boxer's betrayal and death)
7. Reward: 1 (Temporary farm success)
8. Return: 1 (Pigs becoming like humans)
9. Resurrection: 1 (Transformation of principles)
10. Return with Elixir: 0 (Principles are ultimately corrupted)

The narrative follows the heroic quest structure but subverts it by showing the ultimate betrayal of revolutionary ideals.",0
Copy of Copy of 201_the_tiny_wife.txt,Romance/Heroic Quest,2,1,14560,77383,0.0168616,0,0,19257,364,"Let's analyze this text using the Romance/Heroic Quest pattern:

=== MODEL EVALUATIONS ===

Model: Romance/Heroic Quest
StageTotal: 11/20
Coverage: 0.55
Score: 2
Justification: The story follows a metaphorical heroic journey centered on Stacey's transformation, with the thief as a transformative agent who initiates a profound personal and existential quest for the bank robbery participants.

Stage Breakdown:
1. Call to Adventure: 2 (Explicit - The bank robbery fundamentally disrupts everyone's lives)
2. Meeting with the Mentor: 2 (The thief acts as a metaphorical mentor, challenging participants' understanding of soul and existence)
3. Departure: 2 (Characters leave their ordinary world through bizarre transformations)
4. Trials and Challenges: 2 (Each character faces unique, surreal challenges post-robbery)
5. Approach to Inmost Cave: 1 (Partial - Support group meetings represent a collective confrontation)
6. Ordeal: 2 (Characters face metaphorical deaths/transformations)
7. Reward: 1 (Partial - Characters gain strange insights)
8. Return: 2 (Characters attempt to reintegrate into normal life)
9. Resurrection: 1 (Partial - Some characters experience renewal)
10. Return with Elixir: 1 (Subtle transformative knowledge gained)

The story brilliantly subverts the traditional heroic quest by making the journey psychological and existential rather than physical.",0
Copy of Copy of 258_farmer_giles_of_ham.txt,Romance/Heroic Quest,3,1,16707,86991,0.0192896,0,0,22367,349,"Let's analyze this text using the Romance/Heroic Quest pattern:

=== MODEL EVALUATIONS ===

Model: Romance/Heroic Quest
StageTotal: 16/20
Coverage: 0.80
Score: 3
Justification: The story follows a classic heroic quest pattern with Farmer Giles transforming from an ordinary farmer to a legendary hero through encounters with a giant and dragon, acquiring magical assistance (Tailbiter sword), overcoming challenges, and ultimately becoming a king.

Stage Evaluations:
1. Call to Adventure: 2 (Giant's invasion of his farm)
2. Meeting with Mentor: 1 (Parson provides sword knowledge)
3. Departure: 2 (Leaves familiar farm to hunt dragon)
4. Trials and Challenges: 2 (Encounters with giant and dragon)
5. Approach to Inmost Cave: 2 (Confronting dragon in mountain lair)
6. Ordeal: 2 (Facing dragon, risking death)
7. Reward: 2 (Acquiring dragon's treasure)
8. Return: 2 (Returning home triumphant)
9. Resurrection: 2 (Challenging the King, establishing new power)
10. Return with Elixir: 2 (Transforming local society, becoming a ruler)

The text perfectly embodies the heroic quest structure, with Giles' transformation from a simple farmer to a legendary king through courage, wit, and magical assistance.",0
Copy of Copy of 268_under_the_greenwood_tree.txt,Romance (Heroic Quest),2,1,58346,316252,0.066372,0,0,81115,370,"Let me analyze this text using the Romance (Heroic Quest) pattern:

=== MODEL EVALUATIONS ===

Model: Romance (Heroic Quest)
StageTotal: 10/20
Coverage: 0.50
Score: 2
Justification: The story follows several key quest stages, though not completely linearly:

1. Call to Adventure (Stage Score: 2)
- Dick is called to pursue love with Fancy Day
- Involves leaving his familiar world of being a single tranter's son

2. Meeting with Mentor (Stage Score: 1)
- Partial mentorship from his father Reuben and grandfather William
- Provide advice and guidance about courtship

3. Departure (Stage Score: 2)
- Dick leaves his familiar social world to court Fancy
- Crosses social boundaries by pursuing a woman considered ""above"" his station

4. Trials and Challenges (Stage Score: 2)
- Faces obstacles like Fancy's father's disapproval
- Must navigate complex social expectations
- Competes with Mr. Shiner for Fancy's affections

5. Approach to Inmost Cave (Stage Score: 1)
- Confronts deeper questions of identity and social mobility
- Challenges his own sense of self-worth

6. Ordeal (Stage Score: 1)
- Emotional challenges in courtship
- Moments of uncertainty about Fancy's feelings

7. Reward (Stage Score: 1)
- Marries Fancy
- Achieves his goal of love and social advancement

The remaining stages are less developed, resulting in a moderate quest narrative.",0
Copy of Copy of 270_the_governess_affair.txt,Romance (Heroic Quest),3,1,33790,179483,0.0371096,0,0,44607,356,"Based on the text, here's an analysis of the Romance (Heroic Quest) narrative pattern for ""The Governess Affair"":

=== MODEL EVALUATIONS ===

Model: Romance (Heroic Quest)
StageTotal: 14/20
Coverage: 0.70
Score: 3
Justification: The story follows a compelling heroic journey with Serena and Hugo transforming from adversaries to partners, overcoming personal and social obstacles through mutual support and love.

Stage Evaluations:
1. Call to Adventure: 2 (Serena's decision to confront Clermont and seek justice)
2. Meeting with the Mentor: 1 (Hugo partially serves this role, guiding Serena)
3. Departure: 2 (Serena leaves her previous life to pursue her goals)
4. Trials and Challenges: 2 (Confrontations with Clermont, Hugo's initial resistance)
5. Approach to Inmost Cave: 2 (Emotional vulnerability during their intimate scenes)
6. Ordeal: 2 (Confronting past traumas, Hugo's childhood memories)
7. Reward: 2 (Marriage, farm, mutual understanding)
8. Return: 2 (Hugo returning to Serena, accepting love)
9. Resurrection: 2 (Personal transformation, overcoming past limitations)
10. Elixir: 2 (Mutual healing, future possibilities)

The narrative strongly embodies the heroic quest pattern, with personal growth and transformation at its core.",0
Copy of Copy of 28_Lord_of_the_flies.txt,Romance/Heroic Quest Pattern,3,1,61247,326635,0.0666272,0,0,81304,396,"I'll analyze the text using the Romance/Heroic Quest pattern you specified. Here's the evaluation:

=== MODEL EVALUATIONS ===

Model: Romance/Heroic Quest Pattern
StageTotal: 14/20
Coverage: 0.70
Score: 3
Justification: The novel follows most stages of the heroic quest pattern, with Ralph embodying the hero's journey through a complex transformation from civilized schoolboy to survivor. The stages of departure, trials, approach to the inmost cave, ordeal, and return are particularly well-represented, though some stages are more implied than explicit.

Detailed Stage Breakdown:
1. Call to Adventure (2/2): Crash landing on the island immediately sets up the adventure
2. Meeting with Mentor (1/2): Piggy provides some guidance, but not fully developed
3. Departure (2/2): Clear departure from civilization into unknown island world
4. Trials and Challenges (2/2): Extensive challenges of survival and group dynamics
5. Approach to Inmost Cave (2/2): Climbing the mountain and confronting the ""beast""
6. Ordeal (2/2): Psychological and physical breakdown, especially Simon and Piggy's deaths
7. Reward (1/2): Partial self-understanding, but not a clear positive reward
8. Return (2/2): Rescue and return to civilization, but traumatized
9. Resurrection (1/2): Partial moral awakening, but deeply scarred
10. Return with Elixir (1/2): Partial wisdom about human nature, but mostly tragic insight

The score reflects a complex, nuanced implementation of the heroic quest pattern that ultimately subverts traditional expectations by showing the darkness within human nature.",0
